city	state	latitude	longitude	portal_url	host_url	hosting_services	navigation_path	html_example_url	pdf_example_url	doc_example_url	fmt_html_true	fmt_html_embedded_links	fmt_pdf_true	fmt_pdf_embedded_images_scans	fmt_pdf_embedded_forms	fmt_pdf_embedded_links_to_material	fmt_pdf_tables	fmt_pdf_searchable_text	fmt_doc_true	fmt_doc_embedded_links	fmt_mp3_true	fmt_video_true	notes_for_development_metadata
Los Gatos	CA	37.228594	-121.98396	http://www.losgatosca.gov/2148/Town-Council-Agenda-Minutes	http://losgatos.granicus.com	granicus|aws	portal>pdf	NA	https://s3..com/granicus_production_attachments/losgatos/440f8891a2e670489f6a61957286c895.pdf	NA	0	0	1	1	0	1	1	1	0	0	0	1	"many docs redundantly named (eg ""Staff Report Final"")"
Moraga	CA	37.839426	-122.12426																				
Mountain View	CA	37.189396	-121.705327																				
Orinda	CA	37.878625	-122.18296																				
Palo Alto	CA	37.443688	-122.15071																				
San Bruno	CA	37.625908	-122.42363																				
San Leandro	CA	37.722279	-122.15702																				
San Mateo	CA	37.570385	-122.32044																				
Santa Clara	CA	37.347791	-121.95131																				
Sunnyvale	CA	37.38894	-122.017956																				
